"statefp","countyfp","tractce","geoid","name","namelsad","mtfcc","funcstat","aland","awater","intptlat","intptlon","lat","lon"
"36","093","033102","36093033102","331.02","Census Tract 331.02","G5020","S",183329989,3232878,"+42.7779982","-074.1727018",42.779902,-74.18049
"36","093","032504","36093032504","325.04","Census Tract 325.04","G5020","S",66000589,1265253,"+42.9010522","-074.0288926",42.910369,-74.031133
"36","081","004300","36081004300","43","Census Tract 43","G5020","S",170813,0,"+40.7609451","-073.9375143",40.760945,-73.937514
"36","081","003900","36081003900","39","Census Tract 39","G5020","S",146970,0,"+40.7627994","-073.9409316",40.7628,-73.940933
"36","081","077908","36081077908","779.08","Census Tract 779.08","G5020","S",200497,0,"+40.7256168","-073.8136929",40.725617,-73.813692
"36","081","025700","36081025700","257","Census Tract 257","G5020","S",150587,0,"+40.7501044","-073.9051748",40.750104,-73.905174
"36","081","077907","36081077907","779.07","Census Tract 779.07","G5020","S",216834,0,"+40.7249623","-073.8184802",40.724963,-73.818481
"36","081","024900","36081024900","249","Census Tract 249","G5020","S",204083,0,"+40.7431151","-073.9042554",40.743115,-73.904255
"36","081","100801","36081100801","1008.01","Census Tract 1008.01","G5020","S",644973,339805,"+40.6113410","-073.7661007",40.610787,-73.767775
"36","081","023500","36081023500","235","Census Tract 235","G5020","S",255537,0,"+40.7393490","-073.9175942",40.739349,-73.917594
"36","081","024000","36081024000","240","Census Tract 240","G5020","S",269562,0,"+40.7032775","-073.8050793",40.703277,-73.805079
"36","081","025500","36081025500","255","Census Tract 255","G5020","S",218247,0,"+40.7504263","-073.9079200",40.750426,-73.90792
"36","081","025100","36081025100","251","Census Tract 251","G5020","S",245619,0,"+40.7448223","-073.9096562",40.744822,-73.909656
"36","081","097204","36081097204","972.04","Census Tract 972.04","G5020","S",391826,0,"+40.5939070","-073.7811283",40.593907,-73.781128
"36","081","003800","36081003800","38","Census Tract 38","G5020","S",176214,0,"+40.6847999","-073.8474941",40.6848,-73.847495
"36","081","004200","36081004200","42","Census Tract 42","G5020","S",200287,0,"+40.6818145","-073.8579641",40.681814,-73.857964
"36","081","004001","36081004001","40.01","Census Tract 40.01","G5020","S",174292,0,"+40.6832481","-073.8458743",40.683248,-73.845874
"36","081","003600","36081003600","36","Census Tract 36","G5020","S",180006,0,"+40.6837714","-073.8568176",40.683771,-73.856818
"36","081","024500","36081024500","245","Census Tract 245","G5020","S",257660,0,"+40.7393540","-073.9050486",40.739354,-73.905048
